community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2d', 'Td']",['folds'],"['5c', '6c']",[],"['Ts', 'Qd']",['folds'],"['Qc', '3c']",['folds'],"['8s', 'Kh']",['folds'],"['As', '2c']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['9d', '3c']",['folds'],"['8c', '7h']",[],"['8h', '6d']",['folds'],"['9s', '2h']",['folds'],"['9h', 'Td']",['folds'],"['8s', '7c']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['3c', 'Ad']",['folds'],"['5h', '2c']",['folds'],"['3h', 'Jh']",['folds'],"['Kd', '3d']",['folds'],"['9h', '6d']",['folds'],"['Ac', 'Kh']",['raises 150 to 250']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['6s', 'Th']",['folds'],"['Qh', '2c']",[],"['5h', '9c']",['folds'],"['Ad', '9s']",['folds'],"['7s', '3c']",['folds'],"['6h', '8s']",['folds']
,,,[3],125,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['5h', '4c']",['folds'],"['4d', 'Js']",['folds'],"['9c', '9s']",['raises 125 to 225'],"['6s', '4s']",['folds'],"['9d', 'Tc']",['folds'],"['Ts', '6h']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['2s', 'Js']",['folds'],"['6c', '6d']",['folds'],"['4c', '8s']",['folds'],"['As', '4h']",['folds'],"['5c', 'Kh']",['folds'],"['Ah', '8h']",['raises 150 to 250']
"['9s', 'Td', 'Js']",['3s'],['2h'],[6],0,3614,"[-50.0, -100.0, 0.0, 0.0, -1732.0, 1882.0]","[0, 0, 0, 0, 1, 1]","['3h', '5c']",['folds'],"['3d', '6s']",['folds'],"['As', '2c']",['folds'],"['Jh', '3c']",['folds'],"['Ac', 'Qs']","['raises 110 to 210', 'calls 402', 'bets 420', 'bets 700', 'checks']","['Ts', 'Ah']","['raises 402 to 612', 'calls 420', 'calls 700', 'checks']"
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['4s', 'Tc']",['folds'],"['3s', '4c']",[],"['Kd', 'Th']",['folds'],"['4d', '8s']",['folds'],"['Ks', '8c']",['folds'],"['7s', 'Td']",['folds']
"['7s', 'Qh', '4h']",['7c'],['9s'],[6],750,1150,"[-50.0, -550.0, 0.0, 0.0, 0.0, 600.0]","[0, 0, 0, 0, 0, 1]","['3h', '9h']",['folds'],"['5h', 'Ah']","['calls 150', 'checks', 'calls 300', 'checks', 'checks', 'folds']","['3c', '8d']",['folds'],"['2c', 'Kd']",['folds'],"['2s', 'Th']",['folds'],"['6d', '3d']","['raises 150 to 250', 'bets 300', 'checks', 'bets 750']"
"['Jh', 'Js', '4c']",['9d'],['Kh'],[2],1424,1424,"[-50.0, 737.0, -687.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['3s', 'Qd']",['folds'],"['Tc', 'Qh']","['calls 187', 'checks', 'bets 400', 'bets 1424']","['5s', '5c']","['raises 187 to 287', 'checks', 'calls 400', 'folds']","['7h', '9c']",['folds'],"['Qs', '2c']",['folds'],"['2d', '7d']",['folds']
,,,[4],150,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['6h', '9s']",['folds'],"['Tc', '3c']",['folds'],"['Qc', 'Ts']",['folds'],"['Ad', '4d']",['raises 150 to 250'],"['Kd', '9h']",['folds'],"['3d', 'Ks']",['folds']
"['6c', 'Qd', 'Ah']",['7c'],,[6],2000,1750,"[-50.0, -850.0, 0.0, 0.0, 0.0, 900.0]","[0, 0, 0, 0, 0, 1]","['5h', 'Jh']",['folds'],"['Qh', 'Tc']","['calls 150', 'checks', 'calls 600', 'checks', 'folds']","['Ks', '4d']",['folds'],"['5d', '2d']",['folds'],"['Qs', '8d']",['folds'],"['6s', 'Ad']","['raises 150 to 250', 'bets 600', 'bets 2000']"
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['4s', '8h']",['folds'],"['9h', 'Jc']",[],"['8s', '2h']",['folds'],"['3h', 'Jh']",['folds'],"['Tc', '4d']",['folds'],"['3s', 'Td']",['folds']
,,,[3],100,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['5d', 'Jc']",['folds'],"['5s', 'Jd']",['folds'],"['Kd', 'Kh']",['raises 100 to 200'],"['6c', '8d']",['folds'],"['7s', '3d']",['folds'],"['6d', '2d']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['9h', '5c']",['folds'],"['2c', '8s']",['folds'],"['2d', '9d']",['folds'],"['Td', 'Ks']",['folds'],"['8h', 'Jd']",['folds'],"['Tc', 'Kc']",['raises 150 to 250']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2d', '6d']",['folds'],"['3c', 'Td']",[],"['7h', 'Qs']",['folds'],"['Kd', '7d']",['folds'],"['Qh', '2c']",['folds'],"['7s', '9d']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Jh', '4c']",['folds'],"['Kh', '6c']",[],"['2d', 'Ts']",['folds'],"['4s', '3h']",['folds'],"['8c', '7s']",['folds'],"['9s', '6s']",['folds']
,,,[1],150,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['3s', 'Qs']",['raises 150 to 250'],"['2s', '7h']",['folds'],"['5s', '2c']",['folds'],"['8s', '6s']",['folds'],"['5c', '9c']",['folds'],"['4s', 'Qc']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['3s', '2d']",['folds'],"['4h', 'Ac']",[],"['Ks', '5d']",['folds'],"['2s', '9c']",['folds'],"['Tc', '6d']",['folds'],"['Jh', '2h']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['9c', '8h']",['raises 200 to 300'],"['Kd', '2s']",['folds'],"['5s', 'Qs']",['folds'],"['7h', 'Qh']",['folds'],"['Qc', '7d']",['folds'],"['Jd', '3c']",['folds']
,,,[1],875,550,"[325.0, -100.0, 0.0, 0.0, -225.0, 0.0]","[1, 0, 0, 0, 0, 0]","['9d', 'Kd']",['raises 875 to 1100'],"['2d', '5d']",['folds'],"['8c', '2h']",['folds'],"['9c', '7d']",['folds'],"['6h', '6d']","['raises 125 to 225', 'folds']","['4s', 'Qc']",['folds']
"['Ah', 'Ac', 'Ad']",['Ks'],['8h'],[4],0,1200,"[-50.0, -100.0, 0.0, 675.0, -525.0, 0.0]","[0, 0, 0, 1, 1, 0]","['Qd', '3h']",['folds'],"['7d', 'Th']",['folds'],"['7h', 'Qh']",['folds'],"['9d', '9s']","['raises 125 to 225', 'bets 300', 'checks', 'checks']","['7c', '7s']","['calls 225', 'calls 300', 'checks', 'checks']","['9h', 'Tc']",['folds']
,,,[3],125,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Ks', '3d']",['folds'],"['3c', '4s']",['folds'],"['2c', '2s']",['raises 125 to 225'],"['5d', '8d']",['folds'],"['4d', 'Jh']",['folds'],"['Kh', 'Ts']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Qh', '2h']",['folds'],"['2s', '3h']",['folds'],"['3d', 'Td']",['folds'],"['7c', '8s']",['folds'],"['6h', 'Tc']",['folds'],"['8h', '9s']",['raises 150 to 250']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['As', '7c']",['raises 200 to 300'],"['2d', 'Tc']",['folds'],"['Ah', '6c']",['folds'],"['9h', '4c']",['folds'],"['Qc', '5s']",['folds'],"['9c', '2s']",['folds']
"['Qh', '5h', 'Js']",,,[4],350,470,"[-50.0, -210.0, 0.0, 260.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['9c', '4s']",['folds'],"['8c', '7s']","['calls 110', 'checks', 'folds']","['6d', 'Jh']",['folds'],"['Tc', 'Ac']","['raises 110 to 210', 'bets 350']","['4c', '7c']",['folds'],"['Ah', '6c']",['folds']
"['Kd', '7c', '5d']",['Qc'],['Js'],[1],150,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Jc', 'Jh']","['calls 50', 'checks', 'checks', 'bets 150']","['9h', '8s']","['checks', 'checks', 'checks', 'folds']","['9c', '4s']",['folds'],"['6d', 'Qs']",['folds'],"['6h', '7s']",['folds'],"['Th', '5h']",['folds']
,,,[3],100,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Jc', '2c']",['folds'],"['6s', 'Qd']",['folds'],"['Ac', 'Ks']",['raises 100 to 200'],"['6c', 'Th']",['folds'],"['5s', '4d']",['folds'],"['Ts', '3h']",['folds']
,,,[4],150,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['5h', '3d']",['folds'],"['7h', 'Kc']",['folds'],"['Jc', '3h']",['folds'],"['Ad', 'Td']",['raises 150 to 250'],"['2s', '8s']",['folds'],"['3c', 'Qd']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['6d', 'Js']",['folds'],"['8s', '6h']",['folds'],"['3c', '8h']",['folds'],"['3d', '2s']",['folds'],"['9h', 'Kc']",['folds'],"['Jd', 'Th']",['raises 150 to 250']
"['8c', 'Kc', '7d']",['8d'],['3d'],[3],0,6750,"[-50.0, -100.0, 3450.0, 0.0, 0.0, -3300.0]","[0, 0, 1, 0, 0, 1]","['2d', 'Ks']",['folds'],"['9c', '6c']",['folds'],"['Js', 'Jc']","['raises 125 to 225', 'calls 600', 'checks', 'calls 450', 'checks', 'checks', 'calls 2025']","['3c', '2s']",['folds'],"['7c', 'Qh']",['folds'],"['Th', 'Td']","['raises 600 to 825', 'bets 450', 'checks', 'bets 2025']"
,,,[5],100,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['7c', '4c']",['folds'],"['3d', '2s']",['folds'],"['Jd', '8c']",['folds'],"['5s', 'Qc']",['folds'],"['Kd', '9d']",['raises 100 to 200'],"['Ts', '8h']",['folds']
,,,[3],110,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['5c', 'Kd']",['folds'],"['7s', 'Th']",['folds'],"['6c', '6d']",['raises 110 to 210'],"['Td', 'Jc']",['folds'],"['9h', 'Ks']",['folds'],"['Ad', '5s']",['folds']
"['5s', '6s', '6h']",,,[4],250,500,"[-50.0, -225.0, 0.0, 275.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['6d', 'Kd']",['folds'],"['Kh', 'Js']","['calls 125', 'checks', 'folds']","['5h', 'As']",['folds'],"['Jh', 'Ah']","['raises 125 to 225', 'bets 250']","['5c', '7s']",['folds'],"['Jd', 'Ts']",['folds']
,,,[4],150,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['4s', '5c']",['folds'],"['6c', '2c']",['folds'],"['4d', '2s']",['folds'],"['Qc', 'Kh']",['raises 150 to 250'],"['Th', '3h']",['folds'],"['Kd', '2h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['8s', '3c']",['folds'],"['3d', '5s']",[],"['3s', '6s']",['folds'],"['4d', 'Jc']",['folds'],"['7h', '9d']",['folds'],"['2s', '8h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ks', '2d']",['folds'],"['Td', '6s']",[],"['3d', 'As']",['folds'],"['8c', '4d']",['folds'],"['Kd', '2s']",['folds'],"['3h', '9s']",['folds']
"['9h', '6c', '8s']",['Td'],['Qc'],[2],0,7900,"[-50.0, 4075.0, -200.0, 0.0, 0.0, -3825.0]","[0, 1, 0, 0, 0, 1]","['6s', 'Kh']",['folds'],"['7d', '5c']","['calls 100', 'checks', 'raises 1163 to 1650', 'bets 1975', 'checks']","['Ac', '9c']","['raises 100 to 200', 'checks', 'folds']","['Jd', 'Ah']",['folds'],"['8d', '5d']",['folds'],"['Ts', 'Tc']","['calls 200', 'bets 487', 'calls 1163', 'calls 1975', 'checks']"
,,,[4],125,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['Jd', '9c']",['folds'],"['9d', '7s']",['folds'],"['4h', '9h']",['folds'],"['Ks', '9s']",['raises 125 to 225'],"['3h', '5h']",['folds'],"['2h', 'Tc']",['folds']
"['Jd', '7h', '3h']",['6s'],,[2],450,900,"[-450.0, 450.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ad', 'Kd']","['raises 200 to 300', 'bets 150', 'checks', 'folds']","['Kc', '4h']","['calls 200', 'calls 150', 'bets 450']","['9s', '5s']",['folds'],"['2s', 'Ts']",['folds'],"['Qs', '2c']",['folds'],"['8h', '3c']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['4d', 'Ts']",['folds'],"['8h', '4s']",[],"['Tc', '2s']",['folds'],"['8c', '7h']",['folds'],"['9s', 'Th']",['folds'],"['2c', '5s']",['folds']
"['4s', '9s', 'Th']",['7c'],['Kd'],[2],1000,1000,"[-50.0, 525.0, 0.0, -475.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Js', '2s']",['folds'],"['9c', '7d']","['calls 125', 'checks', 'calls 250', 'checks', 'bets 1000']","['Jc', '8c']",['folds'],"['Ah', '7h']","['raises 125 to 225', 'bets 250', 'checks', 'folds']","['Tc', 'Qs']",['folds'],"['Ad', '8h']",['folds']
"['5s', '2s', '7s']",,,[1],450,600,"[300.0, -300.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Kd', 'Kh']","['raises 200 to 300', 'bets 450']","['Kc', '6h']","['calls 200', 'folds']","['Jh', '8s']",['folds'],"['6c', '3c']",['folds'],"['5d', '6s']",['folds'],"['3d', '4d']",['folds']
"['7c', '7s', '9h']",['7h'],['Kc'],"[2, 5]",0,1124,"[-50.0, 25.0, 0.0, 0.0, 25.0, 0.0]","[0, 1, 0, 0, 1, 0]","['2h', '6h']",['folds'],"['4h', 'Kh']","['calls 100', 'checks', 'checks', 'bets 337']","['6d', '7d']",['folds'],"['2s', '6s']",['folds'],"['Js', 'Ks']","['raises 100 to 200', 'checks', 'checks', 'calls 337']","['5d', 'Ts']",['folds']
"['9d', '6c', 'Jd']",['8s'],['9s'],[2],0,550,"[-50.0, 300.0, 0.0, 0.0, 0.0, -250.0]","[0, 1, 0, 0, 0, 1]","['3c', '9h']",['folds'],"['As', 'Qd']","['calls 150', 'checks', 'checks', 'checks']","['9c', '6d']",['folds'],"['3h', '5s']",['folds'],"['8c', '2c']",['folds'],"['5c', 'Ad']","['raises 150 to 250', 'checks', 'checks', 'checks']"
"['6h', '6s', 'Ts']",['3d'],['3c'],[2],0,8400,"[-4200.0, 4200.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['Jd', 'Ac']","['raises 200 to 300', 'checks', 'calls 300', 'checks', 'calls 800', 'checks', 'calls 2800']","['Th', 'Qd']","['calls 200', 'bets 300', 'bets 800', 'bets 2800']","['2d', 'Tc']",['folds'],"['7s', 'Ks']",['folds'],"['4s', '9h']",['folds'],"['8h', 'Kd']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['6s', '2d']",['folds'],"['8c', '5s']",[],"['7s', '4s']",['folds'],"['5c', 'Jh']",['folds'],"['9h', '3s']",['folds'],"['5h', 'Jd']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['2s', '9h']",['folds'],"['2h', '6c']",['folds'],"['2c', 'Qd']",['folds'],"['4d', 'Th']",['folds'],"['3c', 'Ad']",['folds'],"['Ac', 'Js']",['raises 150 to 250']
"['7h', '8c', 'Ts']",,,[6],5087,5087,"[-50.0, -100.0, -2356.0, -225.0, 0.0, 2731.0]","[0, 0, 0, 0, 0, 1]","['2c', 'Kd']",['folds'],"['4h', 'As']",['folds'],"['6c', '6s']","['raises 125 to 225', 'calls 1031', 'bets 1100', 'folds']","['Js', 'Qs']","['calls 225', 'folds']","['Ah', '4d']",['folds'],"['Qc', 'Qd']","['raises 1031 to 1256', 'raises 5087 to 6187']"
,,,[1],800,550,"[325.0, -100.0, 0.0, 0.0, 0.0, -225.0]","[1, 0, 0, 0, 0, 0]","['6d', '6h']",['raises 800 to 1025'],"['4c', '9h']",['folds'],"['5d', 'Ks']",['folds'],"['5s', '2h']",['folds'],"['3c', '7c']",['folds'],"['Js', 'Kh']","['raises 125 to 225', 'folds']"
"['4h', '5d', '3s']",['Js'],['Ks'],[1],1150,2300,"[1200.0, -100.0, 0.0, 0.0, -1100.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Kc', 'Ac']","['raises 875 to 1100', 'checks', 'checks', 'bets 1150']","['9h', 'As']",['folds'],"['Jc', '2h']",['folds'],"['Qs', '4d']",['folds'],"['9c', 'Qc']","['raises 125 to 225', 'calls 875', 'checks', 'checks', 'folds']","['Qd', '2s']",['folds']
"['2c', 'Ts', 'Jd']",,,[6],300,600,"[-50.0, -100.0, 0.0, -225.0, 0.0, 375.0]","[0, 0, 0, 0, 0, 1]","['Qc', '3s']",['folds'],"['Td', '2d']",['folds'],"['Qh', '4c']",['folds'],"['9c', '9h']","['raises 125 to 225', 'checks', 'folds']","['2s', '5h']",['folds'],"['6s', '5s']","['calls 225', 'bets 300']"
"['Jd', 'Qd', 'Jc']",,,[3],250,500,"[-50.0, -225.0, 275.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['7s', '6d']",['folds'],"['7d', '7h']","['calls 125', 'checks', 'folds']","['Ad', '5d']","['raises 125 to 225', 'bets 250']","['5h', '2h']",['folds'],"['2d', '6c']",['folds'],"['Qc', '7c']",['folds']
"['Kc', '6c', '7c']",['4h'],,[2],500,500,"[-50.0, 275.0, 0.0, 0.0, -225.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ac', '5h']",['folds'],"['Td', 'Jc']","['calls 125', 'checks', 'bets 500']","['9s', 'Tc']",['folds'],"['Jd', '6h']",['folds'],"['2h', '2c']","['raises 125 to 225', 'checks', 'folds']","['3c', '8c']",['folds']
,,,[5],110,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Kh', '5c']",['folds'],"['2h', 'Ks']",['folds'],"['8c', '7h']",['folds'],"['5d', '6d']",['folds'],"['3d', '3s']",['raises 110 to 210'],"['2d', '9h']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Jh', 'Th']",['raises 200 to 300'],"['2h', 'Qd']",['folds'],"['8s', 'Qc']",['folds'],"['Tc', '6s']",['folds'],"['4d', '3d']",['folds'],"['7s', '6h']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Th', '5c']",['folds'],"['2c', 'Js']",['folds'],"['3h', 'Qc']",['folds'],"['8s', 'Kd']",['folds'],"['Kc', '4s']",['folds'],"['Ah', 'Ts']",['raises 150 to 250']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['3h', 'Th']",['folds'],"['6s', '4c']",[],"['Tc', '3d']",['folds'],"['8h', 'Jd']",['folds'],"['8c', '5h']",['folds'],"['4d', 'Kc']",['folds']
,,,[1],850,700,"[400.0, -100.0, 0.0, 0.0, 0.0, -300.0]","[1, 0, 0, 0, 0, 0]","['Js', 'Jd']",['raises 850 to 1150'],"['Ad', '6c']",['folds'],"['6d', 'Kd']",['folds'],"['Ts', '8c']",['folds'],"['4s', '5h']",['folds'],"['5c', 'Kc']","['raises 200 to 300', 'folds']"
"['Js', '7c', 'Ac']",['Ts'],,[3],800,1250,"[-50.0, -600.0, 650.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['7s', 'Tc']",['folds'],"['6c', '3c']","['calls 150', 'checks', 'calls 350', 'checks', 'folds']","['Jc', 'Jh']","['raises 150 to 250', 'bets 350', 'bets 800']","['6s', '8d']",['folds'],"['9h', '5d']",['folds'],"['Qs', 'Kh']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Td', '2c']",['folds'],"['6s', '9h']",['folds'],"['Qh', '7c']",['folds'],"['4d', 'As']",['folds'],"['3s', 'Ks']",['folds'],"['3h', 'Ah']",['raises 150 to 250']
"['Ad', '2d', '9h']",['5h'],['9c'],[2],600,700,"[-50.0, 375.0, 0.0, -325.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['8c', '6d']",['folds'],"['Ah', 'Js']","['calls 110', 'checks', 'calls 115', 'checks', 'bets 600']","['8h', '2h']",['folds'],"['Qh', 'Kh']","['raises 110 to 210', 'bets 115', 'checks', 'folds']","['2c', '6s']",['folds'],"['6h', 'Qs']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['6s', 'Ks']",['folds'],"['Js', '2h']",['folds'],"['7c', '4h']",['folds'],"['Td', '5s']",['folds'],"['3h', '8d']",['folds'],"['8s', 'Qd']",['raises 150 to 250']
"['6h', '3d', 'Ah']",['Qs'],,[2],500,500,"[-50.0, 275.0, -225.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2h', '2d']",['folds'],"['Js', 'Ad']","['calls 125', 'checks', 'bets 500']","['9c', '9s']","['raises 125 to 225', 'checks', 'folds']","['4d', 'As']",['folds'],"['8c', '5s']",['folds'],"['7s', 'Th']",['folds']
"['5s', '7s', 'Qh']",,,[1],750,2300,"[1200.0, -100.0, 0.0, -1100.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ts', 'Th']","['raises 850 to 1100', 'bets 750']","['6s', 'Qd']",['folds'],"['2s', 'Kh']",['folds'],"['Kd', 'Td']","['raises 150 to 250', 'calls 850', 'folds']","['8d', '7c']",['folds'],"['Ad', '8s']",['folds']
"['Ad', 'Jc', '9h']",['Kd'],['Tc'],[2],0,600,"[-300.0, 300.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['8s', '5s']","['calls 50', 'checks', 'checks', 'bets 200']","['Jd', '5h']","['checks', 'checks', 'checks', 'calls 200']","['3c', '9s']",['folds'],"['6s', 'Qh']",['folds'],"['2s', '8c']",['folds'],"['3h', '6d']",['folds']
,,,[2],850,500,"[-50.0, 275.0, 0.0, 0.0, 0.0, -225.0]","[0, 1, 0, 0, 0, 0]","['7d', '4c']",['folds'],"['As', 'Qs']",['raises 850 to 1075'],"['Ah', '8s']",['folds'],"['Js', '6d']",['folds'],"['4s', '5c']",['folds'],"['Jc', 'Td']","['raises 125 to 225', 'folds']"
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2s', '8c']",['folds'],"['2h', 'Td']",[],"['5c', 'Ah']",['folds'],"['Qs', '8s']",['folds'],"['5s', 'Th']",['folds'],"['Tc', '3s']",['folds']
"['9d', 'Kd', 'Ks']",,,[4],8400,4000,"[-700.0, -100.0, 0.0, 2400.0, 0.0, -1600.0]","[0, 0, 0, 1, 0, 0]","['Ts', 'Tc']","['calls 650', 'checks', 'folds']","['5h', '4s']",['folds'],"['Qs', '6d']",['folds'],"['Td', '8d']","['raises 100 to 200', 'calls 500', 'checks', 'raises 8400 to 9300 and is all-in']","['8h', '5c']",['folds'],"['7s', 'As']","['raises 500 to 700', 'bets 900', 'folds']"
"['Qh', '8h', '3d']",,,[6],200,500,"[-50.0, -225.0, 0.0, 0.0, 0.0, 275.0]","[0, 0, 0, 0, 0, 1]","['Th', 'Jd']",['folds'],"['7s', '6c']","['calls 125', 'checks', 'folds']","['9c', '6h']",['folds'],"['Jh', '4h']",['folds'],"['Td', '5h']",['folds'],"['Jc', 'Ad']","['raises 125 to 225', 'bets 200']"
"['9s', '7d', 'Ac']",['2s'],['Qs'],[2],3600,1800,"[-900.0, 900.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ah', 'Tc']","['calls 50', 'bets 100', 'bets 400', 'bets 300', 'folds']","['8s', '3s']","['checks', 'calls 100', 'calls 400', 'raises 3600 to 3900']","['7c', 'Ks']",['folds'],"['9d', '4d']",['folds'],"['3d', '6h']",['folds'],"['8h', '6c']",['folds']
"['Ac', 'Kh', '4s']",['Kc'],['5s'],[6],0,550,"[-50.0, -250.0, 0.0, 0.0, 0.0, 300.0]","[0, 1, 0, 0, 0, 1]","['8s', '6h']",['folds'],"['Js', 'Qh']","['calls 150', 'checks', 'checks', 'checks']","['Qs', '8d']",['folds'],"['Ts', 'Kd']",['folds'],"['Td', '7d']",['folds'],"['9d', '9c']","['raises 150 to 250', 'checks', 'checks', 'checks']"
,,,[5],110,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Ts', '5c']",['folds'],"['Kh', '6c']",['folds'],"['5s', '2d']",['folds'],"['6d', '9c']",['folds'],"['Jh', 'Js']",['raises 110 to 210'],"['Qs', '2c']",['folds']
,,,[6],427,570,"[-50.0, -100.0, 0.0, -210.0, 0.0, 360.0]","[0, 0, 0, 0, 0, 1]","['6c', 'Qh']",['folds'],"['5s', 'Qc']",['folds'],"['Ts', 'Qd']",['folds'],"['5d', 'Kd']","['raises 110 to 210', 'folds']","['8c', '6h']",['folds'],"['Ah', 'Kh']",['raises 427 to 637']
