community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
"['3s', '3d', 'Ad']",['Qc'],['Td'],[4],0,550,"[-50.0, -100.0, 0.0, 350.0, -200.0, 0.0]","[0, 0, 0, 1, 1, 0]","['4c', 'Js']",['folds'],"['5s', '9h']",['folds'],"['Kh', '7h']",['folds'],"['9s', 'Qs']","['raises 100 to 200', 'checks', 'checks', 'checks']","['2d', '2h']","['calls 200', 'checks', 'checks', 'checks']","['5d', 'Th']",['folds']
"['9s', 'Ad', 'Ac']",,,[6],300,800,"[-50.0, -250.0, 0.0, 0.0, -250.0, 550.0]","[0, 0, 0, 0, 0, 1]","['Jd', '9d']",['folds'],"['2h', '2d']","['calls 150', 'checks', 'folds']","['6s', 'Qd']",['folds'],"['Tc', 'Kh']",['folds'],"['8h', '7h']","['raises 150 to 250', 'checks', 'folds']","['9c', '7c']","['calls 250', 'bets 300']"
,,,[5],150,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Th', '3s']",['folds'],"['3h', '6c']",['folds'],"['2h', '8h']",['folds'],"['Qc', '4c']",['folds'],"['4h', '5h']",['raises 150 to 250'],"['6h', '5d']",['folds']
"['5s', '7s', 'Qd']",['5c'],['Js'],[1],750,500,"[250.0, -250.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['6c', '5d']","['calls 50', 'checks', 'calls 150', 'checks', 'bets 750']","['8d', '4h']","['checks', 'bets 150', 'checks', 'folds']","['2c', '2s']",['folds'],"['8s', 'Qc']",['folds'],"['3d', 'Tc']",['folds'],"['3c', '6h']",['folds']
"['Qh', '6c', 'Td']",['7d'],['7c'],[1],0,500,"[250.0, -250.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['7h', 'Kh']","['calls 50', 'checks', 'checks', 'bets 150']","['Jh', '6d']","['checks', 'checks', 'checks', 'calls 150']","['Ks', '5h']",['folds'],"['5d', '9c']",['folds'],"['2h', '5c']",['folds'],"['3h', '8s']",['folds']
"['2s', 'Qs', '9c']",,,[2],450,600,"[-300.0, 300.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ac', '5d']","['raises 200 to 300', 'checks', 'folds']","['Jh', '8h']","['calls 200', 'bets 450']","['Kh', 'Ts']",['folds'],"['Qh', '9s']",['folds'],"['Th', '5s']",['folds'],"['7c', '2d']",['folds']
,,,[6],675,650,"[-50.0, -100.0, 0.0, 0.0, -250.0, 400.0]","[0, 0, 0, 0, 0, 1]","['Ts', '7c']",['folds'],"['8d', '8s']",['folds'],"['7d', '6s']",['folds'],"['3d', '2s']",['folds'],"['6d', 'Kd']","['raises 150 to 250', 'folds']","['Jh', 'Qc']",['raises 675 to 925']
,,,[5],150,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Qh', '4h']",['folds'],"['6c', '7h']",['folds'],"['Ad', '5h']",['folds'],"['2d', '5s']",['folds'],"['Ah', 'Ts']",['raises 150 to 250'],"['6h', 'Kd']",['folds']
"['3s', 'Jc', '5d']",['5s'],['Kc'],[2],4722,1574,"[-50.0, 812.0, 0.0, -762.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5c', 'Qs']",['folds'],"['Ad', '5h']","['calls 150', 'checks', 'calls 250', 'bets 262', 'bets 4722']","['4c', '6d']",['folds'],"['7s', '7c']","['raises 150 to 250', 'bets 250', 'calls 262', 'folds']","['6h', '3c']",['folds'],"['3h', 'Th']",['folds']
,,,[6],175,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['8c', '2s']",['folds'],"['6c', '8d']",['folds'],"['4h', '2h']",['folds'],"['9c', '3c']",['folds'],"['4s', '2d']",['folds'],"['Jc', 'Ts']",['raises 175 to 275']
"['Ac', '9c', 'Ah']",['Js'],,[1],150,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ts', '7c']","['calls 50', 'checks', 'bets 150']","['6s', 'Th']","['checks', 'checks', 'folds']","['2c', '5d']",['folds'],"['7d', '2d']",['folds'],"['Tc', '7h']",['folds'],"['8h', '4s']",['folds']
"['Jc', 'Qd', '9d']",['2h'],['2c'],[2],675,1350,"[-675.0, 675.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['6s', '7s']","['raises 200 to 300', 'checks', 'checks', 'bets 375', 'folds']","['2d', 'Ks']","['calls 200', 'checks', 'checks', 'raises 675 to 1050']","['7c', 'Kh']",['folds'],"['Qs', 'Tc']",['folds'],"['6c', '4h']",['folds'],"['Js', '8h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ts', '3h']",['folds'],"['6s', '3c']",[],"['Ks', '2s']",['folds'],"['6c', '5d']",['folds'],"['5c', 'Td']",['folds'],"['Ah', '2c']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Td', '5s']",['folds'],"['6c', '2h']",['folds'],"['6h', 'Tc']",['folds'],"['8c', '9h']",['folds'],"['Kd', '7s']",['folds'],"['4h', '4c']",['raises 150 to 250']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Qd', '5s']",['folds'],"['2h', '6c']",['folds'],"['Td', '3c']",['folds'],"['Kd', '8s']",['folds'],"['Jh', '6d']",['folds'],"['3s', 'Ac']",['raises 150 to 250']
"['7c', '3h', 'Js']",['6h'],,[2],1125,1500,"[-50.0, 775.0, 0.0, 0.0, 0.0, -725.0]","[0, 1, 0, 0, 0, 0]","['Tc', '4h']",['folds'],"['5c', '6d']","['calls 175', 'checks', 'checks', 'raises 1125 to 1575']","['3c', 'Ts']",['folds'],"['9h', 'Kc']",['folds'],"['2c', '8h']",['folds'],"['Ks', '7s']","['raises 175 to 275', 'checks', 'bets 450', 'folds']"
,,,[6],487,650,"[-50.0, -100.0, 0.0, 0.0, -250.0, 400.0]","[0, 0, 0, 0, 0, 1]","['Js', 'Ah']",['folds'],"['4d', 'Ks']",['folds'],"['6c', '4c']",['folds'],"['Kh', '8d']",['folds'],"['7d', 'Kd']","['raises 150 to 250', 'folds']","['Tc', 'As']",['raises 487 to 737']
"['Jd', '5s', '3c']",['5c'],['5d'],[3],800,1440,"[-50.0, -695.0, 745.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['6s', '8d']",['folds'],"['Kc', 'Ad']","['calls 110', 'checks', 'calls 235', 'checks', 'bets 250', 'folds']","['Jh', 'Ah']","['raises 110 to 210', 'bets 235', 'checks', 'raises 800 to 1050']","['Qh', '5h']",['folds'],"['2d', 'Ac']",['folds'],"['6c', 'Th']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Td', 'Ks']",['folds'],"['5d', '8s']",['folds'],"['Th', '5h']",['folds'],"['2d', '2s']",['folds'],"['3s', '6d']",['folds'],"['4s', 'Ah']",['raises 150 to 250']
"['8c', '6c', '5d']",['5c'],['Jd'],[5],0,1100,"[-50.0, -525.0, 0.0, 0.0, 575.0, 0.0]","[0, 1, 0, 0, 1, 0]","['5s', '2s']",['folds'],"['Qs', '3s']","['calls 150', 'checks', 'checks', 'bets 275']","['Qc', '8h']",['folds'],"['3d', 'Jc']",['folds'],"['9h', 'Ad']","['raises 150 to 250', 'checks', 'checks', 'calls 275']","['Js', '6h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Js', '6c']",['folds'],"['3c', '5h']",[],"['7c', '6h']",['folds'],"['Tc', 'Ks']",['folds'],"['Jc', '5s']",['folds'],"['2s', '8s']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['9d', '4s']",['folds'],"['3c', 'Td']",[],"['2s', '2d']",['folds'],"['8h', 'Qd']",['folds'],"['Jh', '6c']",['folds'],"['3h', '9s']",['folds']
